"No."  ,"Time"           ,"Source"        ,"Destination"   ,"Protocol","Length","Info"
"14416","02:18:54.323299","10.140.212.198","10.224.168.94" ,"TCP"     ,"1160"  ,"52372  >  3478 [PSH, ACK] Seq=899276 Ack=14507 Win=65535 Len=1106 [TCP segment of a reassembled PDU]"
"14417","02:18:54.323353","10.140.212.198","10.224.168.94" ,"TCP"     ,"1160"  ,"52372  >  3478 [PSH, ACK] Seq=900382 Ack=14507 Win=65535 Len=1106 [TCP segment of a reassembled PDU]"
"14418","02:18:54.323354","10.140.212.198","10.224.168.94" ,"TCP"     ,"1160"  ,"52372  >  3478 [PSH, ACK] Seq=901488 Ack=14507 Win=65535 Len=1106 [TCP segment of a reassembled PDU]"
"14419","02:18:54.323363","10.140.212.198","10.224.168.94" ,"TCP"     ,"1160"  ,"52372  >  3478 [PSH, ACK] Seq=902594 Ack=14507 Win=65535 Len=1106 [TCP segment of a reassembled PDU]"
"14420","02:18:54.324465","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=14507 Ack=901488 Win=65490 Len=0"
"14421","02:18:54.324707","10.224.168.94" ,"10.140.212.198","TCP"     ,"1160"  ,"3478  >  52370 [PSH, ACK] Seq=901308 Ack=9927 Win=29200 Len=1106 [TCP segment of a reassembled PDU]"
"14422","02:18:54.324711","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=14507 Ack=903700 Win=65490 Len=0"
"14423","02:18:54.324757","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=9927 Ack=902414 Win=65535 Len=0"
"14424","02:18:54.324828","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52370 [ACK] Seq=902414 Ack=9927 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"14425","02:18:54.325392","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52370 [ACK] Seq=903874 Ack=9927 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"14426","02:18:54.325442","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=9927 Ack=905334 Win=65535 Len=0"
"14427","02:18:54.326008","10.224.168.94" ,"10.140.212.198","TCP"     ,"452"   ,"3478  >  52370 [PSH, ACK] Seq=905334 Ack=9927 Win=29200 Len=398 [TCP segment of a reassembled PDU]"
