"No."  ,"Time"           ,"Source"        ,"Destination"   ,"Protocol","Length","Info"
"16858","02:24:24.767705","10.140.212.198","10.224.168.94" ,"TCP"     ,"116"   ,"52519  >  3478 [PSH, ACK] Seq=6477 Ack=538369 Win=65535 Len=62 [TCP segment of a reassembled PDU]"
"16859","02:24:24.768842","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52519 [ACK] Seq=538369 Ack=6539 Win=29200 Len=0"
"16860","02:24:24.768846","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52522 [ACK] Seq=10223 Ack=537289 Win=65134 Len=0"
"16861","02:24:24.769332","10.224.168.94" ,"10.140.212.198","TCP"     ,"140"   ,"3478  >  52519 [PSH, ACK] Seq=538369 Ack=6539 Win=29200 Len=86 [TCP segment of a reassembled PDU]"
"16862","02:24:24.769377","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52519  >  3478 [ACK] Seq=6539 Ack=538455 Win=65535 Len=0"
"16863","02:24:24.770699","10.224.168.94" ,"10.140.212.198","TCP"     ,"164"   ,"3478  >  52519 [PSH, ACK] Seq=538455 Ack=6539 Win=29200 Len=110 [TCP segment of a reassembled PDU]"
"16864","02:24:24.770787","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52519  >  3478 [ACK] Seq=6539 Ack=538565 Win=65535 Len=0"
"16865","02:24:24.772723","10.140.212.198","10.224.168.94" ,"TCP"     ,"235"   ,"52522  >  3478 [PSH, ACK] Seq=537289 Ack=10223 Win=65535 Len=181 [TCP segment of a reassembled PDU]"
"16866","02:24:24.774140","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52522 [ACK] Seq=10223 Ack=537470 Win=65134 Len=0"
"16867","02:24:24.774143","10.224.168.94" ,"10.140.212.198","TCP"     ,"235"   ,"3478  >  52519 [PSH, ACK] Seq=538565 Ack=6539 Win=29200 Len=181 [TCP segment of a reassembled PDU]"
"16868","02:24:24.774210","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52519  >  3478 [ACK] Seq=6539 Ack=538746 Win=65535 Len=0"
"16869","02:24:24.812053","10.140.212.198","10.224.168.94" ,"TCP"     ,"218"   ,"52522  >  3478 [PSH, ACK] Seq=537470 Ack=10223 Win=65535 Len=164 [TCP segment of a reassembled PDU]"
"16870","02:24:24.813391","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52522 [ACK] Seq=10223 Ack=537634 Win=65134 Len=0"
"16871","02:24:24.813394","10.224.168.94" ,"10.140.212.198","TCP"     ,"218"   ,"3478  >  52519 [PSH, ACK] Seq=538746 Ack=6539 Win=29200 Len=164 [TCP segment of a reassembled PDU]"
"16872","02:24:24.813478","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52519  >  3478 [ACK] Seq=6539 Ack=538910 Win=65535 Len=0"
"16877","02:24:24.856136","10.140.212.198","10.224.168.94" ,"TCP"     ,"235"   ,"52522  >  3478 [PSH, ACK] Seq=537634 Ack=10223 Win=65535 Len=181 [TCP segment of a reassembled PDU]"
"16883","02:24:24.857411","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52522 [ACK] Seq=10223 Ack=537815 Win=65134 Len=0"
"16886","02:24:24.857415","10.224.168.94" ,"10.140.212.198","TCP"     ,"235"   ,"3478  >  52519 [PSH, ACK] Seq=538910 Ack=6539 Win=29200 Len=181 [TCP segment of a reassembled PDU]"
"16892","02:24:24.857517","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52519  >  3478 [ACK] Seq=6539 Ack=539091 Win=65535 Len=0"
"16909","02:24:24.872956","10.140.212.198","10.224.168.94" ,"TCP"     ,"218"   ,"52522  >  3478 [PSH, ACK] Seq=537815 Ack=10223 Win=65535 Len=164 [TCP segment of a reassembled PDU]"
"16910","02:24:24.874584","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52522 [ACK] Seq=10223 Ack=537979 Win=65134 Len=0"
